round,bytes_sent_total,avg_latency_ms,packet_loss_mean,energy_total,n_events,accuracy,precision,recall,f1,roc_auc
1,4640.0,16.444598094850555,0.02922032777388467,58.74767253955429,10.0,0.838153268475849,0.7454166666666666,0.71875,0.7203373015873016,0.8230252597628184
2,4640.0,15.333922395085661,0.02860308465070563,58.7512332437807,10.0,0.9000051203277009,0.7789393939393939,0.771875,0.7648290598290599,0.8607889407361788
3,4640.0,15.969608404531083,0.028482039560037337,58.74003641511799,10.0,0.8400051203277009,0.698939393939394,0.671875,0.6759401709401709,0.8518471287918267
4,4640.0,16.652925658353723,0.03000773634467343,58.74350517576442,10.0,0.8979143198498036,0.8259090909090908,0.7887500000000001,0.7903235653235653,0.8582396479779557
5,4640.0,16.319739730319224,0.02967603303765426,58.747249555894705,10.0,0.838153268475849,0.6961764705882353,0.671875,0.6744949494949495,0.8433550707044388
