label,non_iid_alpha,n_agents,topology,communication_budget,repeats,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_sem,non_iid_alpha_mean,non_iid_alpha_std,non_iid_alpha_sem,n_agents_mean,n_agents_std,n_agents_sem,communication_budget_mean,communication_budget_std,communication_budget_sem,marl_accuracy_mean,marl_accuracy_std,marl_accuracy_sem,marl_precision_mean,marl_precision_std,marl_precision_sem,marl_recall_mean,marl_recall_std,marl_recall_sem,marl_f1_mean,marl_f1_std,marl_f1_sem,marl_roc_auc_mean,marl_roc_auc_std,marl_roc_auc_sem,marl_bytes_sent_total_mean,marl_bytes_sent_total_std,marl_bytes_sent_total_sem,marl_avg_latency_ms_mean,marl_avg_latency_ms_std,marl_avg_latency_ms_sem,marl_packet_loss_mean_mean,marl_packet_loss_mean_std,marl_packet_loss_mean_sem,marl_energy_total_mean,marl_energy_total_std,marl_energy_total_sem,marl_n_events_mean,marl_n_events_std,marl_n_events_sem,local_accuracy_mean,local_accuracy_std,local_accuracy_sem,local_precision_mean,local_precision_std,local_precision_sem,local_recall_mean,local_recall_std,local_recall_sem,local_f1_mean,local_f1_std,local_f1_sem,local_roc_auc_mean,local_roc_auc_std,local_roc_auc_sem,naive_accuracy_mean,naive_accuracy_std,naive_accuracy_sem,naive_precision_mean,naive_precision_std,naive_precision_sem,naive_recall_mean,naive_recall_std,naive_recall_sem,naive_f1_mean,naive_f1_std,naive_f1_sem,naive_roc_auc_mean,naive_roc_auc_std,naive_roc_auc_sem,local_bytes_sent_total_mean,local_bytes_sent_total_std,local_bytes_sent_total_sem,local_avg_latency_ms_mean,local_avg_latency_ms_std,local_avg_latency_ms_sem,local_packet_loss_mean_mean,local_packet_loss_mean_std,local_packet_loss_mean_sem,local_energy_total_mean,local_energy_total_std,local_energy_total_sem,local_n_events_mean,local_n_events_std,local_n_events_sem,naive_bytes_sent_total_mean,naive_bytes_sent_total_std,naive_bytes_sent_total_sem,naive_avg_latency_ms_mean,naive_avg_latency_ms_std,naive_avg_latency_ms_sem,naive_packet_loss_mean_mean,naive_packet_loss_mean_std,naive_packet_loss_mean_sem,naive_energy_total_mean,naive_energy_total_std,naive_energy_total_sem,naive_n_events_mean,naive_n_events_std,naive_n_events_sem
communication_budget-0p25__n_agents-5__non_iid_alpha-0p1__topology-ring__8d71045e,0.1,5,ring,0.25,2,0.4858180489973165,0.05157616355388656,0.03646985499653965,0.1,0.0,0.0,5.0,0.0,0.0,0.25,0.0,0.0,0.965221505376344,0.046921477075897,0.0331784946236559,0.9291666666666666,0.10017346066809435,0.07083333333333341,0.86,0.05656854249492385,0.040000000000000036,0.875139353400223,0.08229871566987243,0.058193979933110374,0.880335792853727,0.09737029943434754,0.06885119901619179,1160.0,0.0,0.0,12.386620525722835,0.6296389328761409,0.4452219591357806,0.020907672413758828,0.0016634618078920995,0.0011762451246053376,21.27365990013297,0.3579332807200074,0.25309705000946536,5.0,0.0,0.0,0.9636150537634409,0.04693060103436396,0.033184946236559154,0.8202380952380952,0.028620988762312616,0.02023809523809522,0.79,0.014142135623730963,0.010000000000000009,0.7956521739130435,0.0061487546190134995,0.004347826086956551,,,,0.9852150537634408,0.020909071486699047,0.014784946236559182,0.925,0.10606601717798214,0.075,0.96,0.05656854249492385,0.040000000000000036,0.9385093167701862,0.08696095818319047,0.06149068322981377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,11.835881953801984,0.06327947353974386,0.044745344849867585,0.010013552797774553,0.0009162881555591014,0.0006479135683167547,14.642811003111618,0.027215056641991562,0.01924395110192822,5.0,0.0,0.0
communication_budget-0p5__n_agents-5__non_iid_alpha-0p1__topology-ring__a16de4de,0.1,5,ring,0.5,2,0.4565082769986475,0.06343445317230578,0.04485493199899792,0.1,0.0,0.0,5.0,0.0,0.0,0.5,0.0,0.0,0.965221505376344,0.046921477075897,0.0331784946236559,0.9291666666666666,0.10017346066809435,0.07083333333333341,0.86,0.05656854249492385,0.040000000000000036,0.875139353400223,0.08229871566987243,0.058193979933110374,0.880335792853727,0.09737029943434754,0.06885119901619179,1160.0,0.0,0.0,12.386620525722835,0.6296389328761409,0.4452219591357806,0.020907672413758828,0.0016634618078920995,0.0011762451246053376,21.27365990013297,0.3579332807200074,0.25309705000946536,5.0,0.0,0.0,0.9636150537634409,0.04693060103436396,0.033184946236559154,0.8202380952380952,0.028620988762312616,0.02023809523809522,0.79,0.014142135623730963,0.010000000000000009,0.7956521739130435,0.0061487546190134995,0.004347826086956551,,,,0.9852150537634408,0.020909071486699047,0.014784946236559182,0.925,0.10606601717798214,0.075,0.96,0.05656854249492385,0.040000000000000036,0.9385093167701862,0.08696095818319047,0.06149068322981377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,11.835881953801984,0.06327947353974386,0.044745344849867585,0.010013552797774553,0.0009162881555591014,0.0006479135683167547,14.642811003111618,0.027215056641991562,0.01924395110192822,5.0,0.0,0.0
communication_budget-1p0__n_agents-5__non_iid_alpha-0p1__topology-ring__7abe820c,0.1,5,ring,1.0,2,0.4753478409984382,0.03803715466984974,0.026896330004092302,0.1,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.965221505376344,0.046921477075897,0.0331784946236559,0.9291666666666666,0.10017346066809435,0.07083333333333341,0.86,0.05656854249492385,0.040000000000000036,0.875139353400223,0.08229871566987243,0.058193979933110374,0.880335792853727,0.09737029943434754,0.06885119901619179,2320.0,0.0,0.0,16.37248572165585,0.09799145996726383,0.06929042584122234,0.0312505136308851,0.0036774643836598882,0.0026003600032579142,21.502410319671327,0.344914721127147,0.24389153824007256,5.0,0.0,0.0,0.9636150537634409,0.04693060103436396,0.033184946236559154,0.8202380952380952,0.028620988762312616,0.02023809523809522,0.79,0.014142135623730963,0.010000000000000009,0.7956521739130435,0.0061487546190134995,0.004347826086956551,,,,0.9852150537634408,0.020909071486699047,0.014784946236559182,0.925,0.10606601717798214,0.075,0.96,0.05656854249492385,0.040000000000000036,0.9385093167701862,0.08696095818319047,0.06149068322981377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,11.835881953801984,0.06327947353974386,0.044745344849867585,0.010013552797774553,0.0009162881555591014,0.0006479135683167547,14.642811003111618,0.027215056641991562,0.01924395110192822,5.0,0.0,0.0
communication_budget-0p25__n_agents-5__non_iid_alpha-0p1__topology-star__9a347966,0.1,5,star,0.25,2,0.46909015550045297,0.07342063020997476,0.05191622550046304,0.1,0.0,0.0,5.0,0.0,0.0,0.25,0.0,0.0,0.965221505376344,0.046921477075897,0.0331784946236559,0.9291666666666666,0.10017346066809435,0.07083333333333341,0.86,0.05656854249492385,0.040000000000000036,0.875139353400223,0.08229871566987243,0.058193979933110374,0.880335792853727,0.09737029943434754,0.06885119901619179,1160.0,0.0,0.0,15.135896754826078,0.23505257874977778,0.16620727236935284,0.02831568557708581,0.0006570236981478611,0.0004645859123606158,21.2732692160802,0.3566779867234873,0.2522094231121432,5.0,0.0,0.0,0.9636150537634409,0.04693060103436396,0.033184946236559154,0.8202380952380952,0.028620988762312616,0.02023809523809522,0.79,0.014142135623730963,0.010000000000000009,0.7956521739130435,0.0061487546190134995,0.004347826086956551,,,,0.9852150537634408,0.020909071486699047,0.014784946236559182,0.925,0.10606601717798214,0.075,0.96,0.05656854249492385,0.040000000000000036,0.9385093167701862,0.08696095818319047,0.06149068322981377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,0.0,11.195881953801985,0.0632794735397426,0.04474534484986669,0.010013552797774553,0.0009162881555591014,0.0006479135683167547,14.60308105877165,0.029045016875410414,0.02053792839228041,5.0,0.0,0.0
communication_budget-0p5__n_agents-5__non_iid_alpha-0p1__topology-star__6b8e62d0,0.1,5,star,0.5,2,0.4853562784992391,0.09665934526799222,0.06834847850404911,0.1,0.0,0.0,5.0,0.0,0.0,0.5,0.0,0.0,0.965221505376344,0.046921477075897,0.0331784946236559,0.9291666666666666,0.10017346066809435,0.07083333333333341,0.86,0.05656854249492385,0.040000000000000036,0.875139353400223,0.08229871566987243,0.058193979933110374,0.880335792853727,0.09737029943434754,0.06885119901619179,1392.0,0.0,0.0,15.384444092186904,0.3236400898396955,0.22884810218947213,0.02763833569920436,0.00010916452316992276,7.719097459844837e-05,21.32096373240558,0.3537487338572348,0.25013812854660594,5.0,0.0,0.0,0.9636150537634409,0.04693060103436396,0.033184946236559154,0.8202380952380952,0.028620988762312616,0.02023809523809522,0.79,0.014142135623730963,0.010000000000000009,0.7956521739130435,0.0061487546190134995,0.004347826086956551,,,,0.9852150537634408,0.020909071486699047,0.014784946236559182,0.925,0.10606601717798214,0.075,0.96,0.05656854249492385,0.040000000000000036,0.9385093167701862,0.08696095818319047,0.06149068322981377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,0.0,11.195881953801985,0.0632794735397426,0.04474534484986669,0.010013552797774553,0.0009162881555591014,0.0006479135683167547,14.60308105877165,0.029045016875410414,0.02053792839228041,5.0,0.0,0.0
communication_budget-1p0__n_agents-5__non_iid_alpha-0p1__topology-star__228ca9ae,0.1,5,star,1.0,2,0.4647543579994817,0.07406763645224093,0.052373728001839474,0.1,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.965221505376344,0.046921477075897,0.0331784946236559,0.9291666666666666,0.10017346066809435,0.07083333333333341,0.86,0.05656854249492385,0.040000000000000036,0.875139353400223,0.08229871566987243,0.058193979933110374,0.880335792853727,0.09737029943434754,0.06885119901619179,1856.0,0.0,0.0,16.487101330464988,0.30961336788483035,0.21892971197736877,0.03116383643739368,0.0010609802336808563,0.0007502263179406213,21.404318748623922,0.35191842798279543,0.2488439068511443,5.0,0.0,0.0,0.9636150537634409,0.04693060103436396,0.033184946236559154,0.8202380952380952,0.028620988762312616,0.02023809523809522,0.79,0.014142135623730963,0.010000000000000009,0.7956521739130435,0.0061487546190134995,0.004347826086956551,,,,0.9852150537634408,0.020909071486699047,0.014784946236559182,0.925,0.10606601717798214,0.075,0.96,0.05656854249492385,0.040000000000000036,0.9385093167701862,0.08696095818319047,0.06149068322981377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,0.0,11.195881953801985,0.0632794735397426,0.04474534484986669,0.010013552797774553,0.0009162881555591014,0.0006479135683167547,14.60308105877165,0.029045016875410414,0.02053792839228041,5.0,0.0,0.0
