category,support,precision,recall,f1,positive_rate,false_positive_rate,false_negative_rate
aviation,1595,0.6956521739130435,0.5517241379310345,0.6153846153846154,0.014420062695924765,0.004469987228607918,0.4482758620689655
humanitarian,998,0.6666666666666666,0.625,0.6451612903225806,0.01503006012024048,0.0050916496945010185,0.375
scientific,812,0.6666666666666666,0.6428571428571429,0.6545454545454545,0.0332512315270936,0.011479591836734694,0.35714285714285715
supply_chain,595,1.0,0.42857142857142855,0.6,0.005042016806722689,0.0,0.5714285714285714
